IdINT;RS1;Categorie;IntervalleMaj;Population;DateMaj;LotPop
116688;COMMUNE DE CHAVAGNE;MAI;665;3717;25/01/2019 13:16;LOT_1_S
137887;COMMUNE DE RUPT SUR MOSELLE;MAI;662;3645;28/01/2019 10:34;LOT_1_S
137178;COMMUNE DE LA FERRIERE;MAI;662;4992;28/01/2019 08:34;LOT_1_S
136829;COMMUNE DE SAINT TROPEZ;MAI;662;4607;28/01/2019 09:56;LOT_1_S
135626;COMMUNE DE LE CROTOY;MAI;662;2451;28/01/2019 16:06;LOT_1_S
132732;COMMUNE LE LUDE;MAI;662;4446;28/01/2019 10:47;LOT_1_S
131138;COMMUNE DE SAINT GENIS LES OLLIERES;MAI;662;4800;28/01/2019 15:22;LOT_1_S
129188;COMMUNE D ASSON;MAI;662;2047;28/01/2019 10:38;LOT_1_S
128471;COMMUNE DE CHATEAUGAY;MAI;662;3241;28/01/2019 10:52;LOT_1_S
127045;COMMUNE DE NANTEUIL LE HAUDOUIN;MAI;662;4093;28/01/2019 14:12;LOT_1_S
122920;COMMUNE DE L HUISSERIE;MAI;662;4106;28/01/2019 13:36;LOT_1_S
119898;COMMUNE DE LA CHAPELLE-DES-MARAIS;MAI;662;4069;28/01/2019 16:17;LOT_1_S
117512;COMMUNE DE SAINT CLAIR DU RHONE;MAI;662;3951;28/01/2019 10:53;LOT_1_S
117105;COMMUNE DE CINQ MARS LA PILE;MAI;662;3446;28/01/2019 13:19;LOT_1_S
117001;COMMUNE DE MINIAC MORVAN;MAI;662;3881;28/01/2019 08:11;LOT_1_S
116544;COMMUNE DE JAVENE;MAI;662;2003;28/01/2019 11:09;LOT_1_S
115525;COMMUNE DE BOULIAC;MAI;662;3320;28/01/2019 11:16;LOT_1_S
114364;COMMUNE DE PLOMELIN;MAI;662;4189;28/01/2019 16:29;LOT_1_S
114285;COMMUNE DE LOPERHET;MAI;662;3679;28/01/2019 09:08;LOT_1_S
114014;COMMUNE DE PLEYBEN;MAI;662;3990;28/01/2019 09:34;LOT_1_S
111770;COMMUNE DE VILLERS-LE-LAC;MAI;662;4819;28/01/2019 11:25;LOT_1_S
111583;COMMUNE DE NONTRON;MAI;662;3588;28/01/2019 11:11;LOT_1_S
111175;COMMUNE DE NEUVIC;MAI;662;3740;28/01/2019 09:45;LOT_1_S
111015;COMMUNE DE PLOUBAZLANEC;MAI;662;3460;28/01/2019 13:07;LOT_1_S
108631;COMMUNE DE MEDIS;MAI;662;2754;28/01/2019 13:01;LOT_1_S
139018;COMMUNE DE ANGERVILLE;MAI;661;4193;29/01/2019 11:41;LOT_1_S
139016;COMMUNE DE SAINT CHERON;MAI;661;4870;29/01/2019 12:51;LOT_1_S
138983;COMMUNE DE SANTENY;MAI;661;3726;29/01/2019 12:29;LOT_1_S
138881;COMMUNE DE BRUYERES SUR OISE;MAI;661;4237;29/01/2019 11:21;LOT_1_S
137491;COMMUNE DE CONTREXEVILLE;MAI;661;3650;29/01/2019 14:11;LOT_1_S
136872;COMMUNE DE GORDES;MAI;661;2127;29/01/2019 11:34;LOT_1_S
136455;COMMUNE DE CHATEAUNEUF DE GADAGNE;MAI;661;3365;29/01/2019 15:44;LOT_1_S
136180;COMMUNE DE MERS LES BAINS;MAI;661;3469;29/01/2019 10:41;LOT_1_S
134064;COMMUNE BOISSISE LE ROI;MAI;661;3699;29/01/2019 12:42;LOT_1_S
130711;COMMUNE DE ORBEY;MAI;661;3700;29/01/2019 13:38;LOT_1_S
130578;COMMUNE DE TRUCHTERSHEIM;MAI;661;4033;29/01/2019 13:11;LOT_1_S
126704;COMMUNE D AUNEUIL;MAI;661;2986;29/01/2019 13:42;LOT_1_S
125658;COMMUNE DE LA MACHINE;MAI;661;3812;29/01/2019 13:17;LOT_1_S
125540;COMMUNE DE MARZY;MAI;661;3739;29/01/2019 13:53;LOT_1_S
125413;COMMUNE DE COULANGES LES NEVERS;MAI;661;3711;29/01/2019 12:57;LOT_1_S
124700;COMMUNE DE BASSE HAM;MAI;661;2366;29/01/2019 13:27;LOT_1_S
124678;COMMUNE DE NOYAL PONTIVY;MAI;661;3804;29/01/2019 10:37;LOT_1_S
121736;COMMUNE DE PONT HEBERT;MAI;661;2177;29/01/2019 13:12;LOT_1_S
121210;COMMUNE D ECOUFLANT;MAI;661;3983;29/01/2019 09:32;LOT_1_S
118649;COMMUNE DE SOORTS HOSSEGOR;MAI;661;3720;29/01/2019 10:11;LOT_1_S
117909;COMMUNE DE SAINT CHEF;MAI;661;3624;29/01/2019 08:50;LOT_1_S
117376;COMMUNE DE MONNAIE;MAI;661;4298;29/01/2019 10:02;LOT_1_S
116371;COMMUNE DE MIREVAL;MAI;661;3331;29/01/2019 09:52;LOT_1_S
115267;COMMUNE DE LECTOURE;MAI;661;4201;29/01/2019 08:57;LOT_1_S
114790;COMMUNE DE ROQUES;MAI;661;4469;29/01/2019 14:44;LOT_1_S
114598;COMMUNE DE PECHBONNIEU;MAI;661;4416;29/01/2019 13:34;LOT_1_S
114595;COMMUNE DE MONTRABE;MAI;661;4119;29/01/2019 15:21;LOT_1_S
114323;COMMUNE DE PLOUVIEN;MAI;661;3726;29/01/2019 14:49;LOT_1_S
113511;COMMUNE DE GALLARDON;MAI;661;3553;29/01/2019 08:23;LOT_1_S
112027;COMMUNE DE CHATILLON LE DUC;MAI;661;2040;29/01/2019 12:57;LOT_1_S
108762;COMMUNE DE SAINTE SOULLE;MAI;661;4236;29/01/2019 08:11;LOT_1_S
139176;COMMUNE DE SURVILLIERS;MAI;660;3978;30/01/2019 14:46;LOT_1_S
137373;COMMUNE DE MONTAMISE;MAI;660;3547;30/01/2019 10:28;LOT_1_S
